generation,best_score,avg_score
0,19,3.35
1,19,3.435
2,22,3.34
3,23,3.36
4,31,3.69
5,23,3.735
6,20,3.13
7,16,3.59
8,17,3.475
9,17,3.25
10,20,2.97
11,16,2.96
12,20,3.48
13,13,3.105
14,23,3.155
15,15,3.435
16,22,3.365
17,23,3.5
18,19,3.09
19,17,2.865
20,22,3.74
21,23,3.495
22,24,3.29
23,25,3.71
24,19,3.185
25,25,3.27
26,17,3.115
27,18,3.46
28,27,3.03
29,23,3.58
30,21,3.01
31,19,3.755
32,16,3.435
33,22,3.395
34,23,3.1
35,17,3.0
36,22,3.345
37,25,3.295
38,25,3.01
39,17,3.245
40,20,3.22
41,17,3.205
42,29,3.07
43,30,3.52
44,20,3.43
45,27,3.16
46,21,3.49
47,25,3.81
48,27,3.54
49,21,3.23
50,25,3.55
51,30,4.715
52,29,4.33
53,26,4.95
54,25,5.23
55,30,6.28
56,27,7.905
57,31,9.12
58,28,7.975
59,30,8.965
60,31,9.66
61,32,8.82
62,28,9.18
63,27,9.765
64,30,8.95
65,29,9.035
66,35,9.135
67,30,9.71
68,33,9.59
69,28,9.315
70,31,9.98
71,29,9.145
72,30,9.97
73,30,9.435
74,28,9.645
75,27,8.98
76,30,9.925
77,27,10.08
78,32,9.465
79,31,11.115
80,30,9.83
81,33,11.315
82,29,10.05
83,32,10.59
84,27,10.575
85,29,9.725
86,29,9.27
87,27,9.92
88,29,9.67
89,30,8.95
90,27,9.85
91,26,9.935
92,27,9.285
93,33,9.905
94,33,10.0
95,33,9.725
96,30,10.715
97,31,9.835
98,28,10.62
99,29,11.11
100,30,9.96
101,32,11.48
102,32,10.66
103,30,10.86
104,30,11.085
105,33,9.895
106,31,11.125
107,35,11.17
108,30,12.965
109,34,11.71
110,34,11.115
111,28,12.26
112,32,12.235
113,31,11.175
114,31,12.36
115,35,11.74
116,33,10.605
117,32,11.445
118,33,10.61
119,31,12.195
120,29,11.285
121,34,11.65
122,35,10.7
123,35,11.29
124,36,11.96
125,30,10.805
126,32,11.405
127,30,11.15
128,31,10.965
129,34,12.365
130,31,11.57
131,31,11.78
132,30,11.075
133,30,11.69
134,32,12.07
135,30,11.24
136,30,12.52
137,31,11.95
138,31,11.535
139,31,12.735
140,29,11.795
141,34,11.985
142,36,12.51
143,32,12.385
144,33,11.55
145,32,12.625
146,31,12.855
147,31,12.17
148,32,12.32
149,30,11.95
150,34,13.58
151,30,12.41
152,31,13.935
153,34,12.98
154,30,13.49
155,34,12.875
156,41,12.165
157,32,12.185
158,31,13.09
159,34,12.925
160,32,13.345
161,30,12.375
162,34,13.075
163,32,11.92
164,32,12.63
165,34,12.205
166,31,11.96
167,31,11.82
168,32,14.07
169,33,12.99
170,30,13.55
171,34,14.19
172,30,12.85
173,33,12.925
174,33,13.65
175,33,13.575
176,30,13.935
177,30,12.84
178,31,12.895
179,33,13.395
180,33,13.315
181,35,12.66
182,32,12.96
183,31,12.32
184,34,13.73
185,30,13.75
186,38,12.91
187,32,13.66
188,33,12.65
189,32,12.475
190,33,13.005
191,34,11.92
192,30,13.54
193,33,13.31
194,33,13.745
195,33,13.01
196,32,13.315
197,30,12.565
198,30,12.655
199,31,13.895
200,32,12.96
201,33,13.6
202,37,12.615
203,30,12.88
204,33,13.16
205,32,13.665
206,34,13.895
207,34,13.67
208,35,14.17
209,31,13.895
210,29,13.275
211,33,12.87
212,30,14.325
213,32,13.39
214,32,12.825
215,32,13.965
216,31,14.225
217,31,13.25
218,34,13.32
219,30,14.11
220,38,13.785
221,32,14.895
222,35,13.16
223,34,14.395
224,33,13.645
225,32,13.11
226,32,15.195
227,32,13.285
228,31,12.76
229,32,13.81
230,32,14.84
231,29,14.06
232,33,14.035
233,33,14.525
234,30,13.915
235,34,14.405
236,30,13.67
237,30,13.645
238,32,13.005
239,30,13.56
240,33,12.4
241,32,13.495
242,31,12.92
243,34,12.65
244,32,14.285
245,33,15.075
246,33,13.89
247,33,14.275
248,34,14.79
249,33,13.885
250,33,14.445
251,33,14.035
252,33,14.86
253,39,13.38
254,30,14.945
255,33,14.225
256,34,14.745
257,32,14.7
258,33,15.325
259,32,14.84
260,33,15.23
261,33,15.39
262,30,15.175
263,34,14.885
264,30,14.21
265,32,15.545
266,32,14.785
267,33,14.215
268,33,15.095
269,35,13.87
270,32,14.535
271,30,13.525
272,30,13.545
273,32,14.99
274,35,13.995
275,31,13.665
276,34,14.34
277,30,14.595
278,34,14.235
279,36,14.555
280,32,14.575
281,33,14.7
282,32,14.73
283,32,14.66
284,34,14.72
285,36,14.48
286,37,14.785
287,36,13.595
288,32,15.01
289,29,14.745
290,37,15.15
291,34,15.015
292,33,13.425
293,34,15.47
294,36,14.2
295,34,15.175
296,32,16.05
297,33,14.58
298,33,13.8
299,35,15.515
300,35,13.915
301,30,14.61
302,33,14.975
303,39,15.145
304,32,14.465
305,34,15.405
306,32,14.415
307,34,14.885
308,32,14.63
309,33,14.4
310,34,15.39
311,33,14.085
312,33,14.66
313,32,14.135
314,31,14.35
315,33,13.57
316,33,14.94
317,33,15.425
318,33,16.245
319,32,14.975
320,31,13.54
321,30,14.77
322,36,15.145
323,33,13.925
324,33,14.975
325,33,15.02
326,34,14.875
327,32,14.91
328,32,14.52
329,33,13.04
330,35,14.905
331,32,14.35
332,30,15.785
333,32,14.65
334,34,14.265
335,34,15.315
336,29,14.42
337,36,15.09
338,33,13.695
339,34,14.33
340,34,14.88
341,34,14.645
342,33,16.2
343,32,15.14
344,31,15.605
345,34,16.725
346,33,15.73
347,33,15.845
348,32,15.95
349,37,14.845
350,33,16.63
351,32,15.73
352,36,16.0
353,34,15.525
354,37,15.85
355,33,14.305
356,37,15.13
357,32,15.245
358,30,14.825
359,32,15.475
360,31,15.235
361,32,15.53
362,32,15.15
363,32,15.34
364,32,13.905
365,29,14.59
366,32,15.205
367,34,15.41
368,32,15.295
369,36,16.05
370,33,15.545
371,34,15.08
372,31,15.82
373,33,15.345
374,32,15.495
375,32,15.595
376,32,14.91
377,32,15.675
378,31,15.43
379,31,15.525
380,33,14.875
381,34,15.265
382,34,14.655
383,31,15.605
384,31,14.985
385,37,15.785
386,38,15.18
387,34,15.6
388,34,15.805
389,34,14.065
390,33,15.83
391,32,14.785
392,31,15.34
393,40,15.255
394,35,15.55
395,33,14.63
396,32,14.84
397,31,14.765
398,34,15.075
399,40,13.94
